#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
1:3961306-3962637|-  -            444 17347at72274         -            347  2.7e-142  472.4   0.1   1   1  2.1e-143  2.6e-141  469.1   0.1    12   346    38   433    31   434 0.85 1_3648 # 3961306 # 3962637 # -1 # ID=1_3648;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=3-4bp;gc_cont=0.677
1:6400718-6403078|-  -            787 17347at72274         -            347   5.4e-30  103.0   0.4   1   2   8.6e-13   1.1e-10   39.6   0.3   133   224   279   371   246   380 0.75 1_5859 # 6400718 # 6403078 # -1 # ID=1_5859;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.671
1:6400718-6403078|-  -            787 17347at72274         -            347   5.4e-30  103.0   0.4   2   2   2.1e-19   2.6e-17   61.3   0.0   240   343   410   524   393   528 0.88 1_5859 # 6400718 # 6403078 # -1 # ID=1_5859;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.671
1:1943386-1946163|+  -            926 17347at72274         -            347   6.2e-30  102.8   1.4   1   1   1.1e-29   1.4e-27   95.1   1.4   140   342   263   507   229   512 0.76 1_1778 # 1943386 # 1946163 # 1 # ID=1_1778;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.672
1:6770494-6771648|+  -            385 17347at72274         -            347     9e-29   99.0   0.1   1   2   3.6e-09   4.5e-07   27.7   0.1   159   225   164   230   128   240 0.89 1_6220 # 6770494 # 6771648 # 1 # ID=1_6220;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.564
1:6770494-6771648|+  -            385 17347at72274         -            347     9e-29   99.0   0.1   2   2   1.1e-21   1.4e-19   68.8   0.0   248   344   274   381   260   384 0.84 1_6220 # 6770494 # 6771648 # 1 # ID=1_6220;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.564
1:1145167-1147122|+  -            652 17347at72274         -            347     2e-27   94.6   1.4   1   2     1e-10   1.3e-08   32.8   0.2   151   224   259   331   247   338 0.85 1_1024 # 1145167 # 1147122 # 1 # ID=1_1024;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.656
1:1145167-1147122|+  -            652 17347at72274         -            347     2e-27   94.6   1.4   2   2   8.8e-19   1.1e-16   59.3   0.1   241   343   373   491   354   494 0.82 1_1024 # 1145167 # 1147122 # 1 # ID=1_1024;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.656
1:1624129-1625745|-  -            539 17347at72274         -            347   1.9e-26   91.4   0.3   1   3      0.56        70    0.7   0.0   193   283    78   170    75   195 0.77 1_1471 # 1624129 # 1625745 # -1 # ID=1_1471;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.689
1:1624129-1625745|-  -            539 17347at72274         -            347   1.9e-26   91.4   0.3   2   3   2.3e-10   2.9e-08   31.6   0.2   148   222   299   372   291   378 0.89 1_1471 # 1624129 # 1625745 # -1 # ID=1_1471;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.689
1:1624129-1625745|-  -            539 17347at72274         -            347   1.9e-26   91.4   0.3   3   3     2e-17   2.5e-15   54.8   0.0   249   344   425   531   416   533 0.82 1_1471 # 1624129 # 1625745 # -1 # ID=1_1471;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.689
